"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2025-01-03T08:15:00.000Z","2025-01-03","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","2500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0001","","","",""
"2025-01-06T09:30:00.000Z","2025-01-06","DEFAULT","TRADING","BUY","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","12.0000000000","94.500000","-1134.00","-1.00","","EUR","","","","Buy trade IE00B4L5Y983 Core MSCI World USD (Acc), quantity: 12","demo-0002","","","",""
"2025-01-10T10:12:00.000Z","2025-01-10","DEFAULT","TRADING","BUY","STOCK","Apple","US0378331005","3.0000000000","182.000000","-546.00","-1.00","","EUR","","","","Buy trade US0378331005 Apple, quantity: 3","demo-0003","","","",""
"2025-01-15T11:22:00.000Z","2025-01-15","DEFAULT","TRADING","BUY","CRYPTO","Bitcoin","BTC","0.0060000000","62000.000000","-372.00","","","EUR","","","","Buy trade BTC Bitcoin, quantity: 0.006","demo-0004","","","",""
"2025-02-03T08:15:00.000Z","2025-02-03","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","1000.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0005","","","",""
"2025-02-04T09:40:00.000Z","2025-02-04","DEFAULT","TRADING","BUY","FUND","Core S&P 500 USD (Acc)","IE00B5BMR087","1.2000000000","570.000000","-684.00","-1.00","","EUR","","","","Buy trade IE00B5BMR087 Core S&P 500 USD (Acc), quantity: 1.2","demo-0006","","","",""
"2025-02-06T10:10:00.000Z","2025-02-06","DEFAULT","TRADING","BUY","STOCK","Alphabet (C)","US02079K1079","2.0000000000","145.000000","-290.00","-1.00","","EUR","","","","Buy trade US02079K1079 Alphabet (C), quantity: 2","demo-0007","","","",""
"2025-03-05T08:15:00.000Z","2025-03-05","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","750.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0008","","","",""
"2025-03-07T10:20:00.000Z","2025-03-07","DEFAULT","TRADING","BUY","STOCK","Rocket Lab","US7731211089","20.0000000000","17.500000","-350.00","-1.00","","EUR","","","","Buy trade US7731211089 Rocket Lab, quantity: 20","demo-0009","","","",""
"2025-03-12T13:30:00.000Z","2025-03-12","DEFAULT","TRADING","BUY","CRYPTO","Ethereum","ETH","0.1200000000","2350.000000","-282.00","","","EUR","","","","Buy trade ETH Ethereum, quantity: 0.12","demo-0010","","","",""
"2025-04-02T08:15:00.000Z","2025-04-02","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0011","","","",""
"2025-04-08T09:25:00.000Z","2025-04-08","DEFAULT","TRADING","BUY","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","4.0000000000","99.000000","-396.00","-1.00","","EUR","","","","Buy trade IE00B4L5Y983 Core MSCI World USD (Acc), quantity: 4","demo-0012","","","",""
"2025-04-18T12:00:00.000Z","2025-04-18","DEFAULT","CASH","DIVIDEND","STOCK","Apple","US0378331005","","","2.85","","-0.75","EUR","","","","Dividend Apple","demo-0013","","","",""
"2025-05-05T08:15:00.000Z","2025-05-05","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","800.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0014","","","",""
"2025-05-08T10:45:00.000Z","2025-05-08","DEFAULT","TRADING","BUY","STOCK","Apple","US0378331005","1.0000000000","174.000000","-174.00","-1.00","","EUR","","","","Buy trade US0378331005 Apple, quantity: 1","demo-0015","","","",""
"2025-05-12T09:55:00.000Z","2025-05-12","DEFAULT","TRADING","SELL","STOCK","Alphabet (C)","US02079K1079","-0.5000000000","158.000000","79.00","-1.00","-2.10","EUR","","","","Sell trade US02079K1079 Alphabet (C), quantity: 0.5","demo-0016","","","",""
"2025-06-02T08:15:00.000Z","2025-06-02","DEFAULT","CASH","TRANSFER_INBOUND","","","","","","500.000000","","","EUR","","","","Incoming transfer from Max Musterman","demo-0017","","","",""
